iter	Passed	Remaining
912	89976	107124
913	90060	107008
914	90147	106896
915	90218	106764
916	90302	106649
917	90393	106542
918	90479	106429
919	90566	106317
920	90652	106204
921	90740	106093
922	90843	106000
923	90956	105919
924	91042	105805
925	91128	105693
926	91214	105580
927	91302	105470
928	91392	105361
929	91480	105251
930	91600	105177
931	91703	105085
932	91805	104991
933	91934	104927
934	92024	104819
935	92082	104674
936	92153	104545
937	92248	104442
938	92303	104295
939	92388	104182
940	92475	104072
941	92558	103956
942	92640	103839
943	92728	103729
944	92811	103614
945	92898	103504
946	93047	103462
947	93166	103387
948	93358	103392
949	93502	103344
950	93597	103242
951	93688	103136
952	93801	103054
953	93901	102957
954	94010	102869
955	94151	102817
956	94263	102734
957	94357	102630
958	94443	102518
959	94528	102406
960	94617	102297
961	94701	102182
962	94784	102067
963	94879	101966
964	94985	101875
965	95085	101778
966	95186	101683
967	95285	101585
968	95386	101489
969	95497	101405
970	95625	101337
971	95813	101334
972	95912	101235
973	95993	101118
974	96065	100991
975	96152	100881
976	96235	100766
977	96318	100652
978	96408	100544
979	96495	100433
980	96584	100326
981	96675	100219
982	96819	100168
983	96903	100054
984	96994	99949
985	97086	99843
986	97240	99802
987	97346	99711
988	97469	99637
989	97571	99542
990	97688	99463
991	97784	99361
992	97867	99247
993	97959	99142
994	98165	99151
995	98258	99047
996	98348	98940
997	98439	98834
998	98527	98724
999	98619	98619
1000	98698	98501
1001	98791	98396
1002	98879	98288
1003	98969	98180
1004	99042	98056
1005	99132	97950
1006	99244	97864
1007	99342	97765
1008	99434	97661
1009	99532	97561
1010	99623	97455
1011	99709	97344
1012	99807	97245
1013	99902	97144
1014	99993	97037
1015	100098	96945
1016	100201	96851
1017	100291	96744
1018	100389	96645
1019	100516	96575
1020	100653	96512
1021	100740	96403
1022	100827	96294
1023	100914	96184
1024	101000	96073
1025	101100	95976
1026	101187	95867
1027	101279	95762
1028	101393	95678
1029	101488	95576
1030	101574	95466
1031	101661	95357
1032	101787	95284
1033	101873	95173
1034	101990	95092
1035	102095	94999
1036	102193	94900
1037	102294	94804
1038	102394	94707
1039	102497	94612
1040	102593	94511
1041	102686	94408
1042	102779	94304
1043	102890	94218
1044	103011	94139
1045	103112	94043
1046	103209	93943
1047	103301	93839
1048	103386	93727
1049	103468	93614
1050	103567	93516
1051	103675	93426
1052	103776	93329
1053	103875	93231
1054	103968	93128
1055	104061	93024
1056	104152	92919
1057	104248	92818
1058	104341	92715
1059	104430	92608
1060	104517	92499
1061	104623	92407
1062	104733	92319
1063	104833	92222
1064	104920	92113
1065	105026	92020
1066	105118	91916
1067	105227	91828
1068	105334	91736
1069	105436	91641
1070	105526	91535
1071	105624	91436
1072	105724	91338
1073	105823	91240
1074	105949	91166
1075	106071	91087
1076	106162	90982
1077	106251	90875
1078	106340	90769
1079	106455	90684
1080	106585	90612
1081	106701	90528
1082	106800	90430
1083	106907	90338
1084	107027	90258
1085	107144	90174
1086	107239	90072
1087	107327	89965
1088	107417	89859
1089	107468	89721
1090	107560	89617
1091	107684	89539
1092	107785	89443
1093	107895	89354
1094	107984	89247
1095	108076	89143
1096	108166	89037
1097	108262	88937
1098	108356	88834
1099	108443	88726
1100	108540	88626
1101	108634	88524
1102	108724	88418
1103	108823	88320
1104	108918	88218
1105	109066	88160
1106	109162	88059
1107	109262	87961
1108	109354	87858
1109	109448	87755
1110	109552	87661
1111	109644	87557
1112	109736	87454
1113	109845	87363
1114	109956	87274
1115	110080	87196
1116	110189	87106
1117	110278	86999
1118	110376	86900
1119	110478	86804
1120	110581	86709
1121	110669	86602
1122	110770	86505
1123	110878	86414
1124	110977	86316
1125	111086	86225
1126	111200	86138
1127	111307	86045
1128	111411	85951
1129	111519	85860
1130	111576	85729
1131	111688	85641
1132	111785	85540
1133	111892	85448
1134	111996	85354
1135	112094	85255
1136	112194	85157
1137	112286	85053
1138	112394	84961
1139	112523	84886
1140	112620	84786
1141	112717	84686
1142	112813	84585
1143	112905	84481
1144	113007	84385
1145	113099	84281
1146	113175	84166
1147	113273	84067
1148	113362	83961
1149	113445	83851
1150	113560	83764
1151	113652	83660
1152	113783	83585
1153	113893	83495
1154	113983	83390
1155	114084	83293
1156	114178	83191
1157	114286	83099
1158	114380	82997
1159	114472	82894
1160	114567	82792
1161	114684	82707
1162	114871	82671
1163	115112	82674
1164	115268	82617
1165	115419	82555
1166	115504	82446
1167	115591	82338
1168	115684	82235
1169	115780	82134
1170	115880	82036
1171	116005	81956
1172	116108	81859
1173	116183	81744
1174	116271	81637
1175	116360	81531
1176	116452	81427
1177	116552	81329
1178	116655	81233
1179	116764	81141
1180	116856	81037
1181	116952	80936
1182	117038	80828
1183	117130	80725
1184	117231	80627
1185	117321	80522
1186	117428	80429
1187	117567	80357
1188	117779	80335
1189	117895	80247
1190	118014	80162
1191	118127	80073
1192	118214	79965
1193	118302	79859
1194	118386	79749
1195	118491	79654
1196	118605	79565
1197	118712	79472
1198	118821	79379
1199	118924	79282
1200	119027	79186
1201	119146	79100
1202	119259	79010
1203	119362	78913
1204	119463	78816
1205	119569	78721
1206	119684	78633
1207	119770	78524
1208	119858	78418
1209	119957	78319
1210	120084	78238
1211	120174	78133
1212	120255	78022
1213	120338	77912
1214	120427	77807
1215	120487	77682
1216	120560	77567
1217	120689	77487
1218	120787	77387
1219	120873	77280
1220	120959	77172
1221	121049	77067
1222	121137	76961
1223	121227	76856
1224	121323	76755
1225	121412	76650
1226	121497	76542
1227	121583	76435
1228	121669	76328
1229	121780	76236
1230	121870	76132
1231	121964	76029
1232	122055	75926
1233	122159	75829
1234	122295	75753
1235	122464	75698
1236	122590	75615
1237	122703	75524
1238	122795	75421
1239	122898	75324
1240	123056	75261
1241	123147	75157
1242	123235	75051
1243	123335	74953
1244	123431	74851
1245	123523	74748
1246	123633	74656
1247	123729	74555
1248	123795	74435
1249	123888	74333
1250	124015	74250
1251	124124	74157
1252	124232	74063
1253	124535	74085
1254	124622	73979
1255	124714	73875
1256	124835	73789
1257	124923	73682
1258	125012	73577
1259	125116	73481
1260	125232	73391
1261	125331	73292
1262	125441	73198
1263	125533	73095
1264	125628	72993
1265	125734	72898
1266	125842	72804
1267	125928	72696
1268	125979	72569
1269	126063	72461
1270	126149	72355
1271	126234	72247
1272	126316	72138
1273	126402	72031
1274	126484	71922
1275	126570	71816
1276	126657	71709
1277	126785	71626
1278	126891	71531
1279	127036	71457
1280	127191	71390
1281	127321	71308
1282	127433	71215
1283	127526	71112
1284	127632	71017
1285	127747	70926
1286	127834	70820
1287	127922	70715
1288	128009	70608
1289	128095	70501
1290	128178	70393
1291	128266	70288
1292	128351	70181
1293	128454	70084
1294	128565	69991
1295	128656	69887
1296	128743	69781
1297	128831	69675
1298	128918	69570
1299	129011	69467
1300	129094	69359
1301	129184	69255
1302	129271	69149
1303	129363	69047
1304	129551	68994
1305	129697	68920
1306	129800	68823
1307	129936	68743
1308	130033	68642
1309	130144	68549
1310	130243	68450
1311	130380	68370
1312	130466	68263
1313	130572	68167
1314	130678	68071
1315	130798	67983
1316	130892	67881
1317	130979	67775
1318	131065	67669
1319	131157	67565
1320	131251	67464
1321	131336	67357
1322	131421	67250
1323	131503	67142
1324	131588	67035
1325	131674	66929
1326	131765	66826
1327	131883	66736
1328	131977	66634
1329	132065	66529
1330	132154	66424
1331	132249	66323
1332	132332	66215
1333	132421	66111
1334	132500	66002
1335	132591	65898
1336	132676	65792
1337	132768	65689
1338	132856	65584
1339	132941	65478
1340	133116	65416
1341	133202	65311
1342	133290	65206
1343	133381	65102
1344	133464	64995
1345	133558	64894
1346	133638	64785
1347	133720	64677
1348	133807	64572
1349	133891	64466
1350	133979	64361
1351	134071	64259
1352	134313	64228
1353	134444	64144
1354	134541	64043
1355	134627	63938
1356	134712	63832
1357	134798	63726
1358	134883	63620
1359	134968	63514
1360	135027	63396
1361	135113	63290
1362	135198	63185
1363	135300	63087
1364	135407	62991
1365	135506	62892
1366	135648	62813
1367	135739	62710
1368	135843	62613
1369	135960	62521
1370	136063	62424
1371	136149	62319
1372	136235	62213
1373	136321	62108
1374	136411	62005
1375	136497	61900
1376	136592	61799
1377	136750	61726
1378	136861	61632
1379	136987	61545
1380	137087	61446
1381	137175	61341
1382	137255	61234
1383	137344	61130
1384	137429	61024
1385	137517	60920
1386	137605	60816
1387	137719	60723
1388	137780	60607
1389	137863	60501
1390	137951	60397
1391	138042	60294
1392	138127	60189
1393	138215	60084
1394	138302	59980
1395	138383	59873
1396	138473	59770
1397	138572	59671
1398	138655	59565
1399	138747	59463
1400	138832	59358
1401	138931	59259
1402	139103	59190
1403	139237	59106
1404	139347	59012
1405	139433	58907
1406	139516	58801
1407	139600	58695
1408	139678	58587
1409	139885	58533
1410	140044	58459
1411	140186	58378
1412	140276	58274
1413	140366	58171
